Tuesday over 2K,,Tuesday 4-7 kohm,,Thursday 1-50 kohm,,Thursday 4-7,
117.773888,5.978403227,163.991257,0.077866944,82.074806,1.949360917,24.853453,0.000578694
118.008415,5.908108374,164.112488,0.077938964,82.197327,1.934823124,24.916985,0.000576394
118.218727,5.838349091,164.23587,0.07792155,82.31955,1.929558317,24.972538,0.000577383
118.437332,5.790217625,164.35585,0.077891678,82.436035,1.913576298,25.032396,0.000577935
118.669777,5.761607934,164.46843,0.078057911,82.564606,1.904351632,25.090101,0.000576743
118.907471,5.713697821,164.596802,0.078071963,82.684113,1.886312786,25.165899,0.00057751
119.159927,5.667563018,164.717422,0.078166731,82.822639,1.876732604,25.24506,0.000576953
119.390923,5.598406513,164.831848,0.07806275,82.948814,1.865466204,25.32761,0.000574743
119.605087,5.571641945,164.95372,0.078255267,83.076157,1.852820643,25.402182,0.000574502
119.83371,5.530627502,165.087067,0.078228503,83.189949,1.838528511,25.477045,0.000575058
120.074638,5.470325477,165.218231,0.07823833,83.316109,1.823281328,25.538387,0.000573256
120.317719,5.399402498,165.343796,0.078247619,83.41964,1.812269807,25.589329,0.000575961
120.563019,5.405589349,165.461044,0.07848402,83.538879,1.803636978,25.636259,0.000574948
120.804039,5.342565209,165.572433,0.078504779,83.659317,1.795146303,25.683483,0.000577155
121.029137,5.314570986,165.686279,0.078603881,83.783371,1.784088786,25.738699,0.000575841
121.259148,5.236318134,165.79953,0.078633732,83.908051,1.772253307,25.792681,0.000575492
121.502121,5.229143493,165.917084,0.078735369,84.042969,1.764431554,25.832544,0.000575824
121.745132,5.187052222,166.058777,0.078726415,84.16494,1.756821423,25.878551,0.000575322
121.979866,5.108344393,166.184708,0.078875495,84.293846,1.742254811,25.940811,0.000574835
122.211868,5.081134051,166.310959,0.078741456,84.421852,1.734099317,25.980078,0.000576417
122.437141,5.047749689,166.448044,0.078937254,84.562538,1.726474791,26.02729,0.000577138
122.674438,5.009269497,166.591614,0.078917131,84.696281,1.714774147,26.072071,0.000577803
