Temperature,Conductivity,Temperature,Conductivity,Temperature,Conductivity
123.187263,0.202107621,85.060715,0.594971639,26.238869,0.191393686
123.424324,0.204700855,85.175758,0.597705547,26.286686,0.191790029
123.644844,0.206726839,85.302269,0.602474897,26.338482,0.191826637
123.882393,0.207652373,85.432426,0.604445911,26.377737,0.192212015
124.112785,0.209238561,85.561081,0.608562572,26.424929,0.192580149
124.360474,0.211581026,85.695137,0.611546001,26.465096,0.191924058
124.609711,0.213768228,85.821671,0.614780197,26.51107,0.19218192
124.839294,0.214600407,85.947609,0.618487477,26.568695,0.192726566
125.071091,0.215777963,86.083824,0.622219881,26.622927,0.192174826
125.312111,0.219098681,86.201309,0.625858359,26.671345,0.192594236
125.540565,0.220119562,86.329659,0.629675773,26.73143,0.193082756
125.773376,0.222401839,86.458336,0.634202924,26.775248,0.193832909
126.002502,0.224494435,86.587616,0.638746431,26.833769,0.193554517
126.243988,0.225454599,86.72142,0.641060772,26.907299,0.194306636
126.461449,0.228115422,86.855545,0.647446593,26.970413,0.19442861
126.702377,0.23014561,86.989357,0.650392795,27.033524,0.194495119
126.943947,0.232241301,87.124695,0.653735704,27.084986,0.194318355
127.199432,0.233927205,87.269112,0.658120199,27.139513,0.195153066
127.455269,0.236052221,87.408096,0.661305558,27.19038,0.194401056
127.700348,0.237548851,87.549179,0.666523493,27.236622,0.194441243
127.929123,0.240052751,87.6791,0.670953881,27.294825,0.194556557
128.175476,0.242274522,87.818092,0.674441534,27.343828,0.194976671
128.432037,0.24481345,87.951035,0.678107639,27.393127,0.194818262
128.676636,0.246500121,88.080673,0.68324065,27.444874,0.194694445
128.921585,0.247114614,88.216362,0.686975197,27.492662,0.19431752
129.145569,0.249748015,88.345688,0.691424505,27.537357,0.194225775
129.391159,0.25146674,88.484711,0.694784949,27.577778,0.193786338
129.630051,0.254795355,88.618591,0.698832468,27.621557,0.194154126
129.864624,0.256010086,88.753098,0.702382162,27.663212,0.19424324
130.110641,0.257257789,88.880341,0.707896227,27.714323,0.19284459
130.386948,0.260587452,89.023598,0.710852557,27.77129,0.193796709
130.640137,0.263190127,89.167175,0.715248671,27.813236,0.193455259
130.867447,0.264469596,89.295044,0.719535452,27.86281,0.194066862
131.103104,0.267895697,89.444984,0.724838328,27.902304,0.194391049
131.345612,0.269426955,89.575874,0.729550927,27.956491,0.194625702
131.578842,0.271686927,89.711624,0.734669228,28.001787,0.194781579
131.83902,0.273883586,89.857643,0.739867907,28.059626,0.19499569
132.100128,0.276081877,89.998848,0.743811554,28.121138,0.194754754
132.336594,0.277266615,90.143074,0.748451616,28.182034,0.194847999
132.581711,0.280634694,90.28035,0.754009671,28.236502,0.194790718
132.814804,0.282863943,90.424583,0.758342784,28.28944,0.194863339
133.055664,0.286198245,90.574883,0.763674657,28.337488,0.195298718
133.306763,0.287892364,90.717926,0.766923544,28.389803,0.195661244
133.558823,0.290565551,90.860069,0.771490693,28.461098,0.195478867
133.801956,0.293176203,91.005249,0.776127448,28.511879,0.195543443
134.049438,0.295787571,91.162224,0.78281557,28.568182,0.196071819
134.30687,0.297580595,91.306213,0.786378878,28.614985,0.196176431
134.552261,0.300317052,91.463806,0.791179186,28.6679,0.196584052
134.803558,0.302898198,91.622948,0.795811635,28.713781,0.196641574
135.05954,0.305292944,91.776016,0.801749054,28.758749,0.196418529
135.314621,0.307745729,91.924271,0.807171723,28.811956,0.19678323
135.563248,0.310455227,92.076157,0.813965665,28.888407,0.196815054
135.808807,0.312975272,92.236511,0.818448564,28.951721,0.19703928
136.061203,0.315910143,92.388123,0.824280471,29.017157,0.196219731
136.305557,0.318714394,92.532478,0.830499866,29.08106,0.197196457
136.554337,0.321173837,92.678635,0.836358302,29.13763,0.197419536
136.806198,0.32432734,92.812096,0.840960955,29.203054,0.197684223
137.073624,0.326537561,92.954659,0.845532921,29.255943,0.19767412
137.313797,0.330166004,93.099953,0.85202254,29.328388,0.196434216
137.547806,0.331804777,93.253998,0.858244994,29.375772,0.196771289
137.804764,0.336038008,93.40567,0.862845516,29.445177,0.196556549
138.069504,0.337931446,93.553688,0.868433382,29.528313,0.197021534
138.325638,0.341376532,93.710518,0.873919215,29.606855,0.197136337
138.567825,0.344281429,93.862503,0.880115689,29.702803,0.196856413
138.834213,0.347063328,94.018143,0.885024115,29.789888,0.197675008
139.077728,0.350382985,94.165909,0.890206567,29.859241,0.197618768
139.343567,0.353071013,94.331848,0.896223382,29.922501,0.198019951
139.584015,0.35553572,94.483871,0.901990897,29.989405,0.198360942
139.845932,0.358827746,94.633179,0.907681572,30.045603,0.198393976
140.095123,0.361546432,94.779457,0.914274375,30.124109,0.198649636
